ID;LINEA;ACERO;TIPO_ACERO;SALIDA DEL PROVEEDOR;LLEGADA A FÁBRICA;ORIGEN;TRANSPORTE;PESO NETO;INICIO DESCARGA;FIN DESCARGA;ESPESOR;TEMPERATURA;FALLAS;TURNO;SUPERVISOR
1;Línea A;Acero;ACERO SAE 1108;07-02-2024 10:50;07-02-2024 16:19;Coronel Isleño, Buenos Aires;TRANSPORTE GIORDANO;29420;07-02-2024 23:19;08-02-2024 0:15;15;37;Falla en cinta de descarga;N;Julieta Pérez
2;Línea A;Acero;ACERO SAE 1108;07-02-2024 13:10;07-02-2024 16:39;Coronel Isleño, Buenos Aires;BUSTAMANTE E HIJOS S.A;25320;08-02-2024 2:55;08-02-2024 3:42;14.8;37;;N;Julieta Pérez
3;Línea A;Acero;ACERO SAE 1108;07-02-2024 15:20;07-02-2024 21:20;Coronel Isleño, Buenos Aires;TRANSPORTE CABRERA;29400;08-02-2024 7:18;08-02-2024 8:55;15.5;39.5;;M;Melina Juárez
4;Línea A;Acero;ACERO SAE 1108;07-02-2024 14:26;07-02-2024 19:34;Coronel Isleño, Buenos Aires;TRANSPORTE CABRERA;28080;08-02-2024 3:39;08-02-2024 4:42;14.8;37;;N;Julieta Pérez
5;Línea B;Acero;ACERO SAE 1108;07-02-2024 10:20;07-02-2024 11:07;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;26340;07-02-2024 13:02;07-02-2024 17:03;14.5;37.2;Rotura brazo de descarga;T;Hugo Conte
6;Línea A;Acero;ACERO SAE 1108;07-02-2024 15:05;07-02-2024 19:49;Coronel Isleño, Buenos Aires;BUSTAMANTE E HIJOS S.A;24840;08-02-2024 5:02;08-02-2024 5:43;14;35.3;;N;Julieta Pérez
7;Línea B;Acero;ACERO SAE 1108;07-02-2024 12:20;07-02-2024 13:05;Venado Tuerto, Santa Fe;BUSTAMANTE E HIJOS S.A;28720;08-02-2024 1:38;08-02-2024 2:46;15.1;43;;N;Julieta Pérez
8;Línea A;Acero;ACERO SAE 1108;08-02-2024 13:00;08-02-2024 18:19;Coronel Isleño, Buenos Aires;BUSTAMANTE E HIJOS S.A;21560;09-02-2024 3:00;09-02-2024 4:00;15.5;30;;N;Julieta Pérez
9;Línea A;Acero;ACERO SAE 1108;07-02-2024 19:20;08-02-2024 1:11;Coronel Isleño, Buenos Aires;BUSTAMANTE E HIJOS S.A;13860;08-02-2024 11:39;08-02-2024 12:25;11.9;38.4;;M;Melina Juárez
10;Línea A;Acero;ACERO SAE 1108;07-02-2024 10:20;07-02-2024 15:00;Coronel Isleño, Buenos Aires;HERNANDEZ COMPANY;27360;07-02-2024 19:53;07-02-2024 20:23;15.5;35.4;;N;Hugo Conte
11;Línea A;Acero;ACERO SAE 1108;07-02-2024 19:00;07-02-2024 23:15;Coronel Isleño, Buenos Aires;MURIETTO SRL;27080;08-02-2024 10:55;08-02-2024 11:40;15.5;41.6;;M;Melina Juárez
12;Línea A;Acero;ACERO SAE 1108;07-02-2024 10:20;07-02-2024 13:42;Coronel Isleño, Buenos Aires;TRANSPORTE PUTESCO;29220;07-02-2024 19:53;07-02-2024 21:08;15.5;32.4;Falla en camión;T;Hugo Conte
13;Línea A;Acero;ACERO SAE 1108;07-02-2024 10:50;07-02-2024 15:43;Coronel Isleño, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;27860;08-02-2024 2:12;08-02-2024 2:57;15.1;35;;N;Julieta Pérez
14;Línea B;Acero;ACERO SAE 1108;07-02-2024 11:45;07-02-2024 12:41;Venado Tuerto, Santa Fe;TRANSPORTES RITONDO SRL;25720;07-02-2024 23:18;08-02-2024 0:38;15.1;42;Falla en camión;N;Julieta Pérez
15;Línea A;Acero;ACERO SAE 1108;07-02-2024 18:20;07-02-2024 22:50;Coronel Isleño, Buenos Aires;TRANSPORTES RITONDO SRL;25580;08-02-2024 10:13;08-02-2024 10:56;15.5;34.5;;M;Melina Juárez
16;Línea A;Acero;ACERO SAE 1108;08-02-2024 8:30;08-02-2024 12:20;Coronel Isleño, Buenos Aires;HERNANDEZ COMPANY;24500;08-02-2024 17:42;08-02-2024 18:50;16.4;38.7;;T;Hugo Conte
17;Línea B;Acero;ACERO SAE 1108;07-02-2024 12:10;07-02-2024 12:50;Venado Tuerto, Santa Fe;TRANSPORTE CABRERA;31100;08-02-2024 0:38;08-02-2024 1:40;15.7;43;;N;Julieta Pérez
18;Línea A;Acero;ACERO SAE 1108;07-02-2024 9:00;07-02-2024 9:55;Venado Tuerto, Santa Fe;HERNANDEZ COMPANY;28140;07-02-2024 10:48;07-02-2024 12:31;15.1;30.3;Falla en cinta de descarga;M;Melina Juárez
19;Línea A;Acero;ACERO SAE 1108;08-02-2024 12:09;08-02-2024 16:41;Coronel Isleño, Buenos Aires;TRANSPORTE CABRERA;25720;09-02-2024 1:50;09-02-2024 3:00;14.1;32;;N;Julieta Pérez
20;Línea A;Acero;ACERO SAE 1108;07-02-2024 15:05;07-02-2024 19:54;Coronel Isleño, Buenos Aires;TRANSPORTE CABRERA;29260;08-02-2024 5:42;08-02-2024 7:20;11.7;35.5;;N;Julieta Pérez
21;Línea A;Acero;ACERO SAE 1108;07-02-2024 10:10;07-02-2024 10:50;Venado Tuerto, Santa Fe;TRANSPORTE PUTESCO;24620;07-02-2024 15:13;07-02-2024 15:57;11.7;42.2;Rotura brazo de descarga;T;Hugo Conte
